Навык,Количество,Процент
Аналитический склад ума,2,0.07%
B2G продажи,2,0.07%
Планирование карьеры,2,0.07%
Работа с ключевыми клиентами,2,0.07%
Электронная почта,2,0.07%
Внимательность,2,0.07%
UML,2,0.07%
Протоколирование,2,0.07%
Разработка регламентов,2,0.07%
Подбор производственного персонала,2,0.07%
Start-up project,2,0.07%
CMMI,2,0.07%
ERP,2,0.07%
менеджер проекта,1,0.04%
Холодные звонки,1,0.04%
Сертификация,1,0.04%
технологии Кнауф,1,0.04%
"AutoCAD, пакета MS Office, MS Project",1,0.04%
СНИПы,1,0.04%
Составление и контроль графика поставки материалов,1,0.04%
Организация и контроль строительного процесса,1,0.04%
Ведение документооборота,1,0.04%
Технический контроль производства,1,0.04%
Управление производством,1,0.04%
Интернет-реклама,1,0.04%
1С: ERP,1,0.04%
1С: Производство,1,0.04%
Информационная безопасность,1,0.04%
"Умение расставлять приоритеты, оценивать ситуацию, принимать решения.",1,0.04%
Уверенный пользователь MS Office,1,0.04%
управление проектом,1,0.04%
проектный менеджер,1,0.04%
насосы,1,0.04%
компрессоры,1,0.04%
PM,1,0.04%
Планирование закупок,1,0.04%
1С: Управление Закупками,1,0.04%
Составление сметно-проектной документации,1,0.04%
Первичное обследование,1,0.04%
"монолит, ж/б",1,0.04%
Монтаж инженерных систем,1,0.04%
Монтаж металлоконструкций,1,0.04%
Строительные технологии,1,0.04%
Полевые работы,1,0.04%
Соблюдение дедлайнов,1,0.04%
Умение общаться с людьми,1,0.04%
CustDev,1,0.04%
PMI,1,0.04%
Minimal Viable Product,1,0.04%
Приоритизация бэклога,1,0.04%
ERP-системы,1,0.04%
Техническая поддержка,1,0.04%
GanttPro,1,0.04%
Координация работы команды,1,0.04%
Измерение эффективности,1,0.04%
Интервьюирование,1,0.04%
Обязательность,1,0.04%
Самоорганизация,1,0.04%
Систематизация данных,1,0.04%
фитинги,1,0.04%
владение Автокад,1,0.04%
умение читать сметы,1,0.04%
Урегулирование конфликтов,1,0.04%
CRM-маркетинг,1,0.04%
ITSM,1,0.04%
исполнительная документация,1,0.04%
A/B тесты,1,0.04%
ЛОЦМАН,1,0.04%
ВЕРТИКАЛЬ,1,0.04%
САРП,1,0.04%
Cadence,1,0.04%
Synopsys,1,0.04%
Sylvaco,1,0.04%
Altium,1,0.04%
Mentor,1,0.04%
Проектные продажи,1,0.04%
Task Tracker,1,0.04%
Оптимизация процессов,1,0.04%
Кросс-функциональное взаимодействие,1,0.04%
Внедрение изменений,1,0.04%
Отчетность и аналитика,1,0.04%
Охрана труда и техника безопасности,1,0.04%
Работа в режиме многозадачности,1,0.04%
строительные проекты,1,0.04%
Маркировочное оборудование,1,0.04%
Улаживание конфликтов,1,0.04%
Стратегический анализ внешней среды,1,0.04%
Организация управления данными,1,0.04%
Повышение урожайности сельскохозяйственных культур,1,0.04%
Навыки межличностного общения,1,0.04%
Техническая экспертиза,1,0.04%
Bitrix24,1,0.04%
Обучаемость,1,0.04%
Желание развиваться,1,0.04%
GoogleDocs,1,0.04%
Яндекс.Трекер,1,0.04%
Яндекс.Вики,1,0.04%
Работа в CRM системе,1,0.04%
Деловой этикет,1,0.04%
Asana,1,0.04%
VPN,1,0.04%
PHP,1,0.04%
MySQL,1,0.04%
Внедрение интранет систем,1,0.04%
удаленная работа,1,0.04%
Автоматизация,1,0.04%
Smoke-тестирование,1,0.04%
QA,1,0.04%
PostgreSQL,1,0.04%
TypeScript,1,0.04%
ГОСТ,1,0.04%
ЕСКД,1,0.04%
CI/CD,1,0.04%
Первичные документы,1,0.04%
Excel,1,0.04%
Leadership Skills,1,0.04%
Project Documentation,1,0.04%
Team management,1,0.04%
Risk management,1,0.04%
готовность к командировкам,1,0.04%
работа в офисе,1,0.04%
Построение плана,1,0.04%
Культура речи,1,0.04%
Построение логической взаимосвязи,1,0.04%
Постановка целей,1,0.04%
Умение добиваться результата,1,0.04%
Дизайн интерьера,1,0.04%
Системный подход,1,0.04%
ОВиК,1,0.04%
Постановка задач,1,0.04%
КС-2,1,0.04%
КС-3,1,0.04%
Планирование затрат,1,0.04%
Составление документации,1,0.04%
Adobe Acrobat,1,0.04%
ГОК,1,0.04%
ЗИФ,1,0.04%
технологическое оборудование,1,0.04%
MS Outlook,1,0.04%
1С: Зарплата и управление персоналом,1,0.04%
Налоговое консультирование,1,0.04%
Основы бухгалтерского учета,1,0.04%
Натуральный камень,1,0.04%
Ландшафтная архитектура,1,0.04%
Коммуникация с клиентом,1,0.04%
Ведение документации и отчетности,1,0.04%
Контроль сроков и качества,1,0.04%
Составление технических заданий,1,0.04%
Финансовый контроль в рамках проекта,1,0.04%
Подрядные работы,1,0.04%
Контроль хода производства работ,1,0.04%
Международные рынки,1,0.04%
Исследовательский анализ данных,1,0.04%
Организация учебного процесса,1,0.04%
Организация пресс-конференций,1,0.04%
Эксплуатация,1,0.04%
Wordpress,1,0.04%
Figma,1,0.04%
Веб-дизайн,1,0.04%
Веб-программирование,1,0.04%
Психология,1,0.04%
Directum,1,0.04%
Directum RX,1,0.04%
Автоматизация документооборота,1,0.04%
YouTrack,1,0.04%
Инженерные изыскания,1,0.04%
Мобильная разработка,1,0.04%
ISO 9000,1,0.04%
Управление реновациями,1,0.04%
Руководство капремонтами,1,0.04%
223-ФЗ,1,0.04%
Консультирование клиентов,1,0.04%
Навыки работы в команде,1,0.04%
Уверенный пользователь ПК и интернет,1,0.04%
Организация и планирование рабочего времени,1,0.04%
Строительно-монтажные риски,1,0.04%
Solar,1,0.04%
Гранд-смета,1,0.04%
CorelDRAW,1,0.04%
руководитель проекта,1,0.04%
Разработка бизнес-плана,1,0.04%
Miro,1,0.04%
Draw.io,1,0.04%
1С: Предприятие: Управление строительной организацией,1,0.04%
Управление бюджетом проекта,1,0.04%
Управление сроками,1,0.04%
Техническая грамотность,1,0.04%
React,1,0.04%
СЭД DocsVision,1,0.04%
DocsVision,1,0.04%
СЭД,1,0.04%
Системы охранно-тревожной сигнализации,1,0.04%
Взаимодействие с контролирующими органами,1,0.04%
Бизнес-проектирование,1,0.04%
Нормативная документация,1,0.04%
Разработка продуктов,1,0.04%
Дорожная карта,1,0.04%
Технология производства,1,0.04%
nanoCAD,1,0.04%
Сопровождение проектов,1,0.04%
Умение работать в команде и самостоятельно,1,0.04%
Продвижение объекта,1,0.04%
avtoCAD,1,0.04%
Готовность к командировкам,1,0.04%
наружные сети,1,0.04%
себестоимость проекта,1,0.04%
Ведение клиентской базы,1,0.04%
Продажи,1,0.04%
Стремление к саморазвитию,1,0.04%
Умение добиваться поставленных результатов в срок,1,0.04%
Высокий уровень коммуникации и организаторских способностей,1,0.04%
Организация и системность,1,0.04%
проектирование СКС,1,0.04%
Монтаж оборудования,1,0.04%
Redmine,1,0.04%
Prince 2,1,0.04%
Приборостроение,1,0.04%
Электротехника,1,0.04%
Постановка на производство,1,0.04%
Сопровождение продукта,1,0.04%
проведение переговоров с первыми лицами компании,1,0.04%
Trello,1,0.04%
Python,1,0.04%
PRINCE2,1,0.04%
Разработка пользовательской документации,1,0.04%
Разработка функциональных требований,1,0.04%
Договорная работа,1,0.04%
Желание профессионально развиваться,1,0.04%
Гибкость,1,0.04%
Требовательность,1,0.04%
Способность быстро реагировать,1,0.04%
Организованность,1,0.04%
Структурированность,1,0.04%
промышленное строительство,1,0.04%
инженерные сети,1,0.04%
трубопровод,1,0.04%
Git,1,0.04%
Web3,1,0.04%
Анализ эффективности инвестиционных проектов,1,0.04%
Построение системы пожарной безопасности с «0»,1,0.04%
Проектирование и монтаж пожарной сигнализации,1,0.04%
Проектирование и монтаж систем пожаротушения,1,0.04%
Жилая недвижимость,1,0.04%
Желание зарабатывать,1,0.04%
Умение продавать,1,0.04%
"Внимательность, ответственность",1,0.04%
"Грамотная речь, умение убеждать",1,0.04%
Высокая трудоспособность,1,0.04%
Энтузиазм,1,0.04%
Бесконфликтность,1,0.04%
Грамотная устная и письменная речь,1,0.04%
Умение слушать,1,0.04%
Жилищное строительство,1,0.04%
Сбор требований,1,0.04%
Менеджер проекта,1,0.04%
Владелец продкта,1,0.04%
Контроль производственных процессов,1,0.04%
Взаимодействие с заказчиками и субподрядчиками,1,0.04%
Управление строительными проектами,1,0.04%
Контроль за соблюдением нормативов и требований,1,0.04%
Управление ресурсами и отчетность,1,0.04%
SLA,1,0.04%
AS IS,1,0.04%
TO BE,1,0.04%
Описание бизнес-процессов AS IS,1,0.04%
Моделирование бизнес-процессов TO BE,1,0.04%
ИТ-инфраструктура,1,0.04%
JSON,1,0.04%
Управление качеством,1,0.04%
Финансовое планирование,1,0.04%
Jira,1,0.04%
Confluence,1,0.04%
Прямые продажи,1,0.04%
Работа с CRM,1,0.04%
стеновые панели,1,0.04%
потолки,1,0.04%
менеджер активных продаж,1,0.04%
В2В продажи,1,0.04%
менеджер проектов,1,0.04%
Solid Works,1,0.04%
Компас 3D,1,0.04%
высокий уровень ответственности,1,0.04%
Экономический анализ,1,0.04%
Разработка бизнес-модели,1,0.04%
координация бэк офиса,1,0.04%
Выставление счетов,1,0.04%
Проведение собеседований,1,0.04%
Эксплуатация офисных помещений,1,0.04%
Первичная документация,1,0.04%
VMware,1,0.04%
Storage,1,0.04%
Виртуализация,1,0.04%
ПГС,1,0.04%
ITIL,1,0.04%
Точность и внимательность к деталям,1,0.04%
Мотивация,1,0.04%
Автоматизация процессов управления персоналом,1,0.04%
PR,1,0.04%
PR Events,1,0.04%
Контроль оформления документов,1,0.04%
Google Docs,1,0.04%
CJM,1,0.04%
Высокий уровень ответственности,1,0.04%
Способность быстро и легко обучаться,1,0.04%
Высокий уровень самоорганизации,1,0.04%
Генерация идей,1,0.04%
Позитив,1,0.04%
Разработка продукта,1,0.04%
Маркетинг,1,0.04%
Знание английского языка,1,0.04%
Навыки улаживания конфликтов,1,0.04%
Системность,1,0.04%
Adobe Photoshop,1,0.04%
КИПиА,1,0.04%
Строительные расчеты,1,0.04%
Делопроизводство MS Office,1,0.04%
Организация конференций,1,0.04%
ArchiCAD,1,0.04%
Архитектура,1,0.04%
"Опыт управления проектами по разработке программного обеспечения, желательно для государственных стр",1,0.04%
"Опыт работы в качестве системного аналитика, архитектора систем;",1,0.04%
Желателен опыт работы с хранилищами данных и аналитическими системами,1,0.04%
cloud,1,0.04%
миграция,1,0.04%
облака,1,0.04%
ЦОД,1,0.04%
SEO,1,0.04%
SEO оптимизация,1,0.04%
HTML,1,0.04%
Создание сайтов,1,0.04%
организация клиентских мероприятий,1,0.04%
Организация и контроль работы персонала,1,0.04%
Уверенность,1,0.04%
Маркетинговые коммуникации,1,0.04%
Планирование маркетинговых кампаний,1,0.04%
заказная разработка,1,0.04%
Согласования в территориальных органах надзора,1,0.04%
Ответственное хранение,1,0.04%
Инженерные сети,1,0.04%
Отчетная документация,1,0.04%
Финансовая отчетность,1,0.04%
Работа с подрядчиками,1,0.04%
ГОСТ 19,1,0.04%
ГОСТ 34,1,0.04%
Customer Experience,1,0.04%
Tasks Tracking Sytems,1,0.04%
Minimum Loveable Product,1,0.04%
Маркетинговый анализ,1,0.04%
Исполнительная документация,1,0.04%
высоковольтные,1,0.04%
Microsoft Office,1,0.04%
Архивирование,1,0.04%
Подготовка документации к архивированию,1,0.04%
Умение быстро усваивать новую информацию,1,0.04%
Работа с оргтехникой,1,0.04%
РЗА,1,0.04%
Системы теплоснабжения,1,0.04%
Водоснабжение и канализация,1,0.04%
Бизнес-планирование,1,0.04%
Анализ рисков,1,0.04%
Опыт работы,1,0.04%
2G/3G/4G,1,0.04%
Отчетность,1,0.04%
Аккуратность,1,0.04%
Маркетинговое планирование,1,0.04%
Веб-аналитика,1,0.04%
TCP/IP,1,0.04%
Автомобильная промышленность,1,0.04%
IATF 16949,1,0.04%
Достижение целей,1,0.04%
"MS Office (Word, Excel, PowerPoint)",1,0.04%
Работа с договорами,1,0.04%
СМР,1,0.04%
Реализация строительных проектов,1,0.04%
Работа с тендерами,1,0.04%
Подготовка объекта к вводу в эксплуатацию,1,0.04%
Приёмка работ,1,0.04%
Cоциальный маркетинг,1,0.04%
Linux,1,0.04%
Бережливое производство,1,0.04%
Разговорный английский,1,0.04%
Проведение встреч,1,0.04%
Производственный контроль,1,0.04%
Анализ бизнес-процессов,1,0.04%
Отопление,1,0.04%
принимать решения и за их результаты отвечать самостоятельно,1,0.04%
планировать и оптимально организовать рабочий процесс,1,0.04%
Руководство людьми,1,0.04%
Оперативное принятие решений,1,0.04%
Умение общаться с клиентами,1,0.04%
B2C маркетинг,1,0.04%
B2B маркетинг,1,0.04%
"Умение находить общий язык с линейным персоналом, чтение чертежей, пунктуальность и собранность",1,0.04%
Контекстная реклама,1,0.04%
Разработка маркетинговых кампаний,1,0.04%
Маркетинговый аудит,1,0.04%
Подбор топ-менеджеров,1,0.04%
Реставрационные работы,1,0.04%
Организаторские способности,1,0.04%
Клиент-ориентированность,1,0.04%
Проактивность,1,0.04%
Структурность,1,0.04%
Новатор,1,0.04%
Командный игрок,1,0.04%
В2В Продажи,1,0.04%
Управление работой с ключевыми клиентами,1,0.04%
Аналитика продаж,1,0.04%
Капитальный ремонт зданий,1,0.04%
Сопровождение сделок,1,0.04%
Проекты,1,0.04%
Умение организовать работу,1,0.04%
Управление разработкой,1,0.04%
Менеджер проектов,1,0.04%
Общие знания гидростатики и гидродинамики,1,0.04%
Опыт ПНР на площадках заказчика,1,0.04%
Работа с технологическими схемами,1,0.04%
Английский — A1 — Начальный (желательно),1,0.04%
Участие в конференциях,1,0.04%
Дизайн,1,0.04%
честность,1,0.04%
оформление документации,1,0.04%
Работа с документами,1,0.04%
Office,1,0.04%
SAP,1,0.04%
Account Management,1,0.04%
SQL,1,0.04%
API,1,0.04%
Общестроительные работы,1,0.04%
Навыки коммуникации,1,0.04%
Управление производственным персоналом,1,0.04%
Ведение отчётности,1,0.04%
Архивирование документов,1,0.04%
1C: ERP,1,0.04%
1С программирование,1,0.04%
Консультативные продажи,1,0.04%
Оперативное планирование,1,0.04%
Разработка ПО,1,0.04%
Умение работать в режиме многозадачности,1,0.04%
Творческое мышление,1,0.04%
Анализ инвестиционных проектов,1,0.04%
Управленческое консультирование,1,0.04%
Умение расставлять приоритеты,1,0.04%
Контроль строительства нового офиса,1,0.04%
подготовка смет,1,0.04%
Анализ и отчетность,1,0.04%
электрика,1,0.04%
слаботочка,1,0.04%
умный дом,1,0.04%
Ведение архива,1,0.04%
IDEF,1,0.04%
Реинжиниринг бизнес-процессов,1,0.04%
Управление эффективностью,1,0.04%
Организация образовательных мероприятий,1,0.04%
координация проекта,1,0.04%
Организационное проектирование,1,0.04%
Аренда недвижимости,1,0.04%
Коммерческая недвижимость,1,0.04%
Анализ бизнес показателей,1,0.04%
Знание устройства производственного оборудования,1,0.04%
Умение анализировать и систематизировать большие объемы информации.,1,0.04%
соединительные детали трубопроводов,1,0.04%
металлопродукция,1,0.04%
трубы,1,0.04%
Организация презентаций,1,0.04%
Развитие ключевых клиентов,1,0.04%
переговоры с первыми лицами компаний,1,0.04%
Управление портфелем продуктов,1,0.04%
Продуктовая стратегия,1,0.04%
Защита персональных данных,1,0.04%
Разработка регламентов и процедур,1,0.04%
Lean Startup,1,0.04%
Руководство проектом,1,0.04%
Пожаротушение,1,0.04%
АПС,1,0.04%
АУПТ,1,0.04%
металлообрабатывающее оборудование,1,0.04%
