Навык,Количество,Процент
Умение работать в условиях многозадачности,2,0.07%
Закупка материалов,2,0.07%
Контекстная реклама,2,0.07%
Взаимодействие с разрешительными органами,2,0.07%
Планирование рекламных кампаний,2,0.07%
Исходно-разрешительная документация,2,0.07%
переговоры с первыми лицами компаний,2,0.07%
Холодные продажи,2,0.07%
Unreal Engine,2,0.07%
A/B тесты,2,0.07%
Техническая поддержка,2,0.07%
Яндекс.Директ,2,0.07%
СНиП,2,0.07%
amoCRM,2,0.07%
Контроль качества,2,0.07%
Работа с базами данных,2,0.07%
Мотивация персонала,2,0.07%
АСУТП,2,0.07%
Работа с проектной документацией,2,0.07%
PHP,2,0.07%
Взаимодействие с заказчиком,2,0.07%
Jobs To Be Done,2,0.07%
Исполнительность,2,0.07%
Продажа комплексных проектов,2,0.07%
Операционное управление,2,0.07%
Разработка бизнес-модели,2,0.07%
Маркетинг,2,0.07%
Дизайн интерьера,2,0.07%
Визуализация данных,2,0.07%
Продажи,2,0.07%
Опытный пользователь ПК,2,0.07%
UX,2,0.07%
UI,2,0.07%
HTML,2,0.07%
Навыки межличностного общения,2,0.07%
Системы канализации и водоснабжения,2,0.07%
Разработка меню,2,0.07%
Ведение рабочей документации,2,0.07%
Баристика,2,0.07%
Банкет,2,0.07%
Туристический менеджмент,2,0.07%
Внутренний туризм,2,0.07%
Internet Marketing,2,0.07%
Разработка маркетинговой стратегии,2,0.07%
Критическое мышление,2,0.07%
Проект-менеджер сетей связи СКС,2,0.07%
Эмоциональный интеллект,2,0.07%
Социальные сети,2,0.07%
Adobe Photoshop,2,0.07%
1C,2,0.07%
Лидерские качества,2,0.07%
Internet,2,0.07%
Аналитика,2,0.07%
SAP,2,0.07%
Обучение,2,0.07%
User Story,2,0.07%
CustDev,2,0.07%
Team management,2,0.07%
Unit-экономика,2,0.07%
Tilda,2,0.07%
MS SQL,2,0.07%
Сквозная аналитика,2,0.07%
Административная поддержка руководителя,2,0.07%
SQL,2,0.07%
Стратегия управления рисками,2,0.07%
Кросс-продажи,2,0.07%
Жилая недвижимость,2,0.07%
Отчетность,2,0.07%
Взаимодействие с субподрядными организациями,2,0.07%
Медиапланирование,2,0.07%
Инженерные системы,2,0.07%
Python,2,0.07%
Автоматизация документооборота,2,0.07%
Промышленные объекты,2,0.07%
Техническое задание,2,0.07%
Функции технического заказчика,2,0.07%
Atlassian Confluence,2,0.07%
Постановка на производство,2,0.07%
Confluence,2,0.07%
Работа с компьютером,1,0.03%
Опрятность,1,0.03%
Навыки разрешения спорных ситуаций,1,0.03%
Деловые переговоры,1,0.03%
Знание 44-ФЗ,1,0.03%
Нарративный дизайн,1,0.03%
VoIP,1,0.03%
Телекоммуникации,1,0.03%
SIP,1,0.03%
Навыки коммуникации,1,0.03%
КС-3,1,0.03%
КС-2,1,0.03%
Эксплуатация,1,0.03%
MySQL,1,0.03%
JavaScript,1,0.03%
Брифинг,1,0.03%
Анализ финансовых показателей,1,0.03%
"Опытный пользователь ПК, знание MS Office",1,0.03%
Веб-программирование,1,0.03%
Веб-дизайн,1,0.03%
Wordpress,1,0.03%
Laravel,1,0.03%
React,1,0.03%
Техническая грамотность,1,0.03%
Управление сроками,1,0.03%
Финансовый контроль в рамках проекта,1,0.03%
Составление технических заданий,1,0.03%
Ведение документации и отчетности,1,0.03%
Коммуникация с клиентом,1,0.03%
Внедрение проектов,1,0.03%
работа с текущей базой клиентов,1,0.03%
Битрикс 24,1,0.03%
Zoom,1,0.03%
Проведение встреч,1,0.03%
Заработка базы клиентов,1,0.03%
Знание английского языка,1,0.03%
Умение расставлять приоритеты,1,0.03%
Умение организовать работу,1,0.03%
VPN,1,0.03%
Анализ целевой аудитории,1,0.03%
1С: Предприятие: Розница,1,0.03%
Яндекс.Вики,1,0.03%
Яндекс.Трекер,1,0.03%
GoogleDocs,1,0.03%
Делопроизводство MS Office,1,0.03%
Выездные мероприятия,1,0.03%
Управление сотрудниками в регионах,1,0.03%
Работа с документами,1,0.03%
Акты сверок,1,0.03%
Договоры аренды,1,0.03%
исполнительная документация,1,0.03%
своя клиентская база,1,0.03%
проекты,1,0.03%
Smoke-тестирование,1,0.03%
удаленная работа,1,0.03%
Внедрение интранет систем,1,0.03%
Взаимодействие с контрольными органами,1,0.03%
Энергетика,1,0.03%
ITSM,1,0.03%
Управление работой с ключевыми клиентами,1,0.03%
оформление документации,1,0.03%
ArchiCAD,1,0.03%
Внутренний контроль,1,0.03%
Адаптация персонала,1,0.03%
Управленческая отчетность,1,0.03%
Коммерческие предложения,1,0.03%
Ведение договора,1,0.03%
"Уверенное знание ПК и оргтехники, внимательность, знание CRM",1,0.03%
"CMS 1C Битрикс , Python, Swagger, Grafana, Figma, MS SQL, разработка проектной документации, UX/UI,",1,0.03%
Запуск новых продуктов,1,0.03%
подготовка документов для участия в тендерах,1,0.03%
Сопровождение проектов,1,0.03%
Аналитика продаж,1,0.03%
Умение убеждать,1,0.03%
Навыки тайм-менеджмента,1,0.03%
Инициативность,1,0.03%
Умение работать в команде,1,0.03%
Внимание к деталям,1,0.03%
Организация архива,1,0.03%
"Работа с MS Office (Word, Excel, PowerPoint, Outlook)",1,0.03%
Анализ данных,1,0.03%
Управление проектами (базовое),1,0.03%
Расписание встреч,1,0.03%
Cогласование договоров,1,0.03%
Подготовка договоров,1,0.03%
Git,1,0.03%
JSON,1,0.03%
Управление продуктом,1,0.03%
Отчетность и аналитика,1,0.03%
Внедрение изменений,1,0.03%
Кросс-функциональное взаимодействие,1,0.03%
Оптимизация процессов,1,0.03%
Task Tracker,1,0.03%
"Умение расставлять приоритеты, оценивать ситуацию, принимать решения.",1,0.03%
Умение анализировать и систематизировать большие объемы информации.,1,0.03%
Продвижение объекта,1,0.03%
Поиск объектов,1,0.03%
Bitrix24,1,0.03%
Организация промо акций,1,0.03%
Способность быстро реагировать,1,0.03%
Требовательность,1,0.03%
Гибкость,1,0.03%
Желание профессионально развиваться,1,0.03%
Менеджер проектов,1,0.03%
Проекты,1,0.03%
B2B,1,0.03%
Привлечение клиентов,1,0.03%
avtoCAD,1,0.03%
Консультирование клиентов по телефону,1,0.03%
Web3,1,0.03%
Планирование маркетинговых кампаний,1,0.03%
Управление проектом,1,0.03%
Учет материалов,1,0.03%
Точность и внимательность к деталям,1,0.03%
Контроль отгрузок,1,0.03%
Оптимизация производственных процессов,1,0.03%
Складское ПО,1,0.03%
Складской Учет,1,0.03%
Международные рынки,1,0.03%
работа с партнерами,1,0.03%
подготовка технико-коммерческих предложений,1,0.03%
Google таблицы,1,0.03%
ассортимент строительных материалов,1,0.03%
поставка строительных материалов,1,0.03%
1 с,1,0.03%
строительные компании,1,0.03%
строительные материалы,1,0.03%
переговоры с застройщиками,1,0.03%
строительные объекты,1,0.03%
Счёт-фактура,1,0.03%
Первичная бухгалтерская документация,1,0.03%
Ответственность и внимательность,1,0.03%
Бюджет проекта,1,0.03%
график производства работ,1,0.03%
Работа с людьми,1,0.03%
Производство выставочных стендов,1,0.03%
Оформление мероприятий,1,0.03%
Декорации,1,0.03%
Творческое мышление,1,0.03%
Tasks Tracking Sytems,1,0.03%
Google Analytics,1,0.03%
Девелопмент,1,0.03%
Тимбилдинг,1,0.03%
Системы управления проектами,1,0.03%
Декомпозиция,1,0.03%
входящие звонки,1,0.03%
исходящие звонки,1,0.03%
Работа с федеральными сетями,1,0.03%
Маркетплейсы,1,0.03%
Продвижение проекта,1,0.03%
Проведение вебинаров,1,0.03%
Проектирование зданий и сооружений,1,0.03%
Авторский надзор,1,0.03%
Иностранные языки,1,0.03%
Взаимодействие с партнерами,1,0.03%
Маркировочное оборудование,1,0.03%
Customer Relationship Management,1,0.03%
Моделирование бизнес-процессов TO BE,1,0.03%
Google AdWords,1,0.03%
Разговорный английский,1,0.03%
Управление разработкой,1,0.03%
Описание бизнес-процессов AS IS,1,0.03%
Автоматизация бизнес-процессов,1,0.03%
TO BE,1,0.03%
AS IS,1,0.03%
SLA,1,0.03%
Организация рабочего процесса,1,0.03%
Доброжелательность,1,0.03%
Интеллектуальная собственность,1,0.03%
Производство строительно-монтажных работ,1,0.03%
Гибкость мышления,1,0.03%
Работа с претензиями,1,0.03%
Умение общаться с людьми,1,0.03%
Мотивация сотрудников,1,0.03%
Знание технического устройства автомобиля,1,0.03%
Транспортная логистика,1,0.03%
Умение слушать,1,0.03%
Бесконфликтность,1,0.03%
Администратор 1С Битрикс,1,0.03%
контент-менеджер,1,0.03%
CSS,1,0.03%
Владелец продкта,1,0.03%
работа с таблицами,1,0.03%
Написание сценариев,1,0.03%
Конкурс,1,0.03%
Customer Journey Mapping,1,0.03%
CorelDRAW,1,0.03%
advanta,1,0.03%
Монтаж оборудования,1,0.03%
проектирование СКС,1,0.03%
Холодные звонки,1,0.03%
Разработка маркетинговых кампаний,1,0.03%
Ценообразование,1,0.03%
Разработка радиоэлектронной продукции,1,0.03%
Hardware,1,0.03%
Разработка пользовательской электроники,1,0.03%
Подбор ЭКБ,1,0.03%
Контроль сроков поставки компонентов,1,0.03%
Контроль BOM,1,0.03%
Разработка и ведение дорожной карты проекта,1,0.03%
Творческий подход,1,0.03%
Создание новых идей,1,0.03%
ЯТ,1,0.03%
ядерное топливо,1,0.03%
роботизация,1,0.03%
НИР,1,0.03%
ОКР,1,0.03%
Ведение проекта,1,0.03%
робототехника,1,0.03%
Изготовление предсерийных образцов,1,0.03%
Изготовление опытных образцов,1,0.03%
Мониторинг рынка,1,0.03%
Корпоративные продажи,1,0.03%
Дизайн,1,0.03%
Аспро,1,0.03%
CorelDRAW Photo Draw,1,0.03%
Графические редакторы,1,0.03%
Умение вести переговоры,1,0.03%
Менеджмент проектов,1,0.03%
Exsel,1,0.03%
1C: Предприятие,1,0.03%
Дружелюбие,1,0.03%
Экономический анализ,1,0.03%
Управление программистами,1,0.03%
Коммуникация,1,0.03%
Умение планировать,1,0.03%
МосЭДО,1,0.03%
Обратная связь,1,0.03%
MS Internet Explorer,1,0.03%
Составление отчетности,1,0.03%
ERP-системы,1,0.03%
Тестирование,1,0.03%
Операционный менеджмент,1,0.03%
график,1,0.03%
Маркетинговый анализ,1,0.03%
План продвижения,1,0.03%
CMS Wordpress,1,0.03%
Первичная документация,1,0.03%
Эксплуатация офисных помещений,1,0.03%
Проведение собеседований,1,0.03%
Выставление счетов,1,0.03%
координация бэк офиса,1,0.03%
Закупка оборудования,1,0.03%
Разработка регламентов,1,0.03%
ITIL,1,0.03%
Машиностроение,1,0.03%
Логистика,1,0.03%
Способность работать в режиме многозадачности,1,0.03%
Helpdesk,1,0.03%
Государственные проекты,1,0.03%
Высокая степень ответственности,1,0.03%
Программа 1С,1,0.03%
Высшее образование,1,0.03%
Устойчивость к стрессам,1,0.03%
MC Excel,1,0.03%
Отличное знание ПК,1,0.03%
Проверка гипотез,1,0.03%
Сегментирование,1,0.03%
Customer Journey Map,1,0.03%
Mindbox,1,0.03%
Улаживание конфликтов,1,0.03%
CJM,1,0.03%
Грамотная речь и письмо,1,0.03%
1C: Бухгалтерия,1,0.03%
JTBD,1,0.03%
Usability-тестирование,1,0.03%
project manager,1,0.03%
ISO 9000,1,0.03%
Мобильная разработка,1,0.03%
Ценовая политика,1,0.03%
Целевые показатели,1,0.03%
Календарное планирование,1,0.03%
Контроль работы команды,1,0.03%
Формирование бюджета,1,0.03%
Информационные рассылки,1,0.03%
Работа с рекламными сетями,1,0.03%
Наполнение контентом,1,0.03%
VK Ads,1,0.03%
Размещение вакансий,1,0.03%
Таргетинг,1,0.03%
B2C продажи,1,0.03%
Умение работать в коллективе,1,0.03%
Performance-ревью,1,0.03%
Усидчивость,1,0.03%
Делопроизводство,1,0.03%
Project Manager,1,0.03%
Social Media Marketing,1,0.03%
Тренинги,1,0.03%
E-Mail Marketing,1,0.03%
getcourse,1,0.03%
jql,1,0.03%
Продвижение мероприятий компании в социальных сетях,1,0.03%
big structure,1,0.03%
big picture,1,0.03%
big gantt,1,0.03%
Ресторанный менеджмент,1,0.03%
металлообрабатывающее оборудование,1,0.03%
Знание устройства производственного оборудования,1,0.03%
GDD,1,0.03%
4,1,0.03%
Продвижение сайтов,1,0.03%
Подготовка спецификаций,1,0.03%
Удаленная работа,1,0.03%
Уникальное торговое предложение,1,0.03%
B2B маркетинг,1,0.03%
Сообразительность,1,0.03%
Высокие коммуникативные навыки,1,0.03%
Проведение мероприятий,1,0.03%
Генерация идей,1,0.03%
Координация проектов,1,0.03%
Создание презентационных материалов о компании,1,0.03%
Желание учиться и развиваться,1,0.03%
Сбор и обработка документов,1,0.03%
Общестроительные работы,1,0.03%
Желание обучаться,1,0.03%
Желание работать и зарабатывать,1,0.03%
Project Expert,1,0.03%
"Коммуникабельность, стрессоустойчивость",1,0.03%
Оборудование,1,0.03%
Разработка эксплуатационной документации,1,0.03%
1С: Предприятие: Управление строительной организацией,1,0.03%
Календарный план строительства,1,0.03%
Упаковка,1,0.03%
Консультативные продажи,1,0.03%
Пассивные продажи,1,0.03%
Лид-менеджмент,1,0.03%
Строительное делопроизводство,1,0.03%
Сборочное производство,1,0.03%
Согласование графиков работ,1,0.03%
gamedev,1,0.03%
Анализ бизнес-процессов,1,0.03%
Mentor,1,0.03%
Altium,1,0.03%
Sylvaco,1,0.03%
Synopsys,1,0.03%
Cadence,1,0.03%
САРП,1,0.03%
Государственные закупки,1,0.03%
Управление дебиторской задолженностью,1,0.03%
Деловые игры,1,0.03%
Проведение пресс-туров,1,0.03%
Оператор ПК,1,0.03%
Знание программ MS Office,1,0.03%
Умение общаться с клиентами,1,0.03%
оформление заказов,1,0.03%
Знание техники продаж,1,0.03%
PR-стратегия,1,0.03%
BTL,1,0.03%
проектные продажи,1,0.03%
продажа инженерных систем,1,0.03%
Проектирование инженерных систем,1,0.03%
Бумажный документооборот,1,0.03%
Деловой этикет,1,0.03%
Работа в CRM системе,1,0.03%
Интеграция программных модулей,1,0.03%
Электронный архив,1,0.03%
ЭДО,1,0.03%
календарный план,1,0.03%
Access,1,0.03%
Математическая статистика,1,0.03%
Математический анализ,1,0.03%
Моделирование бизнес-процессов,1,0.03%
OKR,1,0.03%
Управление закупками,1,0.03%
Обучаемость,1,0.03%
Налоговое консультирование,1,0.03%
Валдбериз,1,0.03%
Озон,1,0.03%
Маркетплейс,1,0.03%
WB,1,0.03%
Ozon,1,0.03%
Техническая экспертиза,1,0.03%
Анализ эффективности PR-кампании,1,0.03%
PR,1,0.03%
B2B-маркетинг,1,0.03%
Позиционирование бренда,1,0.03%
Ведение корпоративных медиа,1,0.03%
Комьюнити-менеджмент,1,0.03%
SAP ERP,1,0.03%
XML/Xslt,1,0.03%
XML,1,0.03%
Проектные продажи,1,0.03%
Водительское удостоверение категории B,1,0.03%
Управление активами,1,0.03%
Организация управления данными,1,0.03%
Управление организационными изменениями,1,0.03%
Grafana,1,0.03%
исполнение поручений руководителя,1,0.03%
Входящая корреспонденция,1,0.03%
Первичные документы,1,0.03%
Разработка долгосрочной системы мотивации,1,0.03%
Стратегия продаж,1,0.03%
QA,1,0.03%
CI/CD,1,0.03%
Организация семинаров,1,0.03%
Корпоративные мероприятия,1,0.03%
"Отопление, вентиляция, кондиционирование",1,0.03%
Инженерная инфраструктура и сети,1,0.03%
Выявление рисков,1,0.03%
Public Speaking,1,0.03%
Leadership Skills,1,0.03%
Организация культурных мероприятий,1,0.03%
Умение быстро погружаться в новую тему,1,0.03%
Directum RX,1,0.03%
Directum,1,0.03%
управление проектом,1,0.03%
автоворонки,1,0.03%
GetCourse,1,0.03%
планирование графика,1,0.03%
1С: Предприятие 8,1,0.03%
Prince 2,1,0.03%
Redmine,1,0.03%
Автоматизация медицинских процессов,1,0.03%
Мошенничества,1,0.03%
Исправление багов,1,0.03%
Фрод мониторинг,1,0.03%
Управление беклогом,1,0.03%
Анализ причин обращения,1,0.03%
Анализ бизнес показателей,1,0.03%
Администрирование сайтов,1,0.03%
Лидогенерация,1,0.03%
Оптимизация маркетинговых кампаний,1,0.03%
Веб-аналитика,1,0.03%
В2В продажи,1,0.03%
просчет проектов,1,0.03%
Организация конференций,1,0.03%
Диаграмма Ганта,1,0.03%
Вотерфол,1,0.03%
Канбан,1,0.03%
Маркетинговые кампании,1,0.03%
1С: Торговля,1,0.03%
Business Analysis,1,0.03%
Power Point,1,0.03%
Автоматизация процессов,1,0.03%
Artix,1,0.03%
CSI,1,0.03%
1С: Розница,1,0.03%
кассовое ПО,1,0.03%
Сопровождение продукта,1,0.03%
Notion,1,0.03%
Электротехника,1,0.03%
Приборостроение,1,0.03%
Спецпроекты,1,0.03%
Соблюдение дедлайнов,1,0.03%
Business Model Canvas,1,0.03%
Mindmap,1,0.03%
User Experience,1,0.03%
Риск-менеджмент,1,0.03%
Product Led Growth,1,0.03%
Roadmap,1,0.03%
Самостоятельная работа,1,0.03%
Нетворкинг,1,0.03%
Продажа идей / концепций,1,0.03%
Холодные / тёплые продажи,1,0.03%
B2B коммуникация,1,0.03%
Партнерские продажи,1,0.03%
Проектное управление,1,0.03%
IT-проекты,1,0.03%
Управление проектной командой,1,0.03%
Энтузиазм,1,0.03%
Высокая трудоспособность,1,0.03%
"Грамотная речь, умение убеждать",1,0.03%
"Внимательность, ответственность",1,0.03%
Умение продавать,1,0.03%
Желание зарабатывать,1,0.03%
Ведение клиентской базы,1,0.03%
Работа с дебиторской задолженностью,1,0.03%
Подбор топ-менеджеров,1,0.03%
Улучшение процессов,1,0.03%
Работа с документацией,1,0.03%
Взаимодействие с подрядчиками,1,0.03%
Координация команды,1,0.03%
Ведение проектов под ключ,1,0.03%
Руководитель проекта,1,0.03%
